C:\Users\shuya\AppData\Local\Programs\Python\Python36\python.exe C:/Users/shuya/iCloudDrive/Desktop/Sync/Umich/EECS-498-598-Deep-Learning/Assignments/Homework4/code/actor_critic.py
C:/Users/shuya/iCloudDrive/Desktop/Sync/Umich/EECS-498-598-Deep-Learning/Assignments/Homework4/code/actor_critic.py:47: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  return F.softmax(action_score), state_values
Episode 1610	Last reward: 48.00	Average reward: 66.70
Episode 1620	Last reward: 41.00	Average reward: 55.73
Episode 1630	Last reward: 54.00	Average reward: 48.74
Episode 1640	Last reward: 42.00	Average reward: 46.49
Episode 1650	Last reward: 45.00	Average reward: 52.66
Episode 1660	Last reward: 113.00	Average reward: 71.96
Episode 1670	Last reward: 133.00	Average reward: 89.68
Episode 1680	Last reward: 197.00	Average reward: 118.07
Episode 1690	Last reward: 154.00	Average reward: 138.74
Episode 1700	Last reward: 179.00	Average reward: 158.10
Episode 1710	Last reward: 135.00	Average reward: 154.65
Episode 1720	Last reward: 55.00	Average reward: 129.32
Episode 1730	Last reward: 115.00	Average reward: 123.15
Episode 1740	Last reward: 173.00	Average reward: 125.23
Episode 1750	Last reward: 200.00	Average reward: 145.91
Episode 1760	Last reward: 135.00	Average reward: 147.11
Episode 1770	Last reward: 173.00	Average reward: 151.65
Episode 1780	Last reward: 192.00	Average reward: 164.82
Episode 1790	Last reward: 126.00	Average reward: 169.21
Episode 1800	Last reward: 102.00	Average reward: 139.81
Episode 1810	Last reward: 108.00	Average reward: 129.20
Episode 1820	Last reward: 160.00	Average reward: 135.17
Episode 1830	Last reward: 111.00	Average reward: 127.10
Episode 1840	Last reward: 115.00	Average reward: 119.51
Episode 1850	Last reward: 143.00	Average reward: 120.60
Episode 1860	Last reward: 150.00	Average reward: 131.32
Episode 1870	Last reward: 162.00	Average reward: 148.67
Episode 1880	Last reward: 123.00	Average reward: 143.91
Episode 1890	Last reward: 119.00	Average reward: 134.82
Episode 1900	Last reward: 125.00	Average reward: 128.66
Episode 1910	Last reward: 120.00	Average reward: 124.53
Episode 1920	Last reward: 131.00	Average reward: 121.86
Episode 1930	Last reward: 138.00	Average reward: 123.13
Episode 1940	Last reward: 130.00	Average reward: 128.43
Episode 1950	Last reward: 144.00	Average reward: 138.64
Episode 1960	Last reward: 200.00	Average reward: 158.06
Episode 1970	Last reward: 200.00	Average reward: 174.89
Episode 1980	Last reward: 200.00	Average reward: 184.96
Episode 1990	Last reward: 200.00	Average reward: 188.95
Episode 2000	Last reward: 200.00	Average reward: 193.38
Solved! Running reward is now 195.13506428479332 and the last episode runs to 200 time steps!

Process finished with exit code 0
